no	file_name	memos			GPS
1	2019-05-23_09-55-48_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-28.48 E-139-34-49.82
2	2019-05-23_12-19-20_000.jpg	:m 食べた物			N-35-35-28.45 E-139-34-49.76
3	2019-05-23_15-59-26_000.jpg				N-35-35-28.49 E-139-34-49.87
4	2019-05-23_16-00-39_000.jpg				N-35-35-28.75 E-139-34-49.76
5	2019-05-23_16-00-50_000.jpg				N-35-35-28.67 E-139-34-49.71
6	2019-05-23_16-01-00_000.jpg				N-35-35-28.67 E-139-34-49.71
7	2019-05-23_16-01-38_000.jpg				N-35-35-28.67 E-139-34-49.71
8	2019-05-23_16-04-27_000.jpg				N-35-35-28.59 E-139-34-49.6
9	2019-05-23_16-06-23_000.jpg				N-35-35-28.59 E-139-34-49.6
10	2019-05-23_18-00-50_000.jpg	:m music / log / kb / s.1:XXX s.2:XXX s.3:XXX s.4:XXX s.5:XXX			N-35-35-29.01 E-139-34-49.43
11	2019-05-23_18-01-06_000.jpg	:m music / log / kb / s.1:XXX s.2:XXX s.3:XXX s.4:XXX s.5:XXX			N-35-35-28.93 E-139-34-49.38
12	2019-05-23_18-01-23_000.jpg	:m music / log / kb / s.1:XXX s.2:XXX s.3:XXX s.4:XXX s.5:XXX			N-35-35-28.88 E-139-34-49.38
13	2019-05-23_20-28-14_000.jpg	:m 食べた物			N-35-35-28.5 E-139-34-49.76
14	2019-05-23_22-06-41_000.png	
15	2019-05-24_04-00-00_000.jpg				N-35-35-28.57 E-139-34-49.38
16	2019-05-24_04-37-43_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-28.56 E-139-34-49.43
17	2019-05-24_05-09-31_000.jpg				N-35-35-28.49 E-139-34-50.04
18	2019-05-24_07-41-28_000.jpg				N-35-16-51.0 E-139-39-58.92
19	2019-05-24_16-46-19_000.png	
20	2019-05-24_20-36-39_000.jpg	:m 食べた物			N-35-35-28.16 E-139-34-48.83
21	2019-05-25_01-01-45_000.jpg				N-35-35-28.55 E-139-34-49.71
22	2019-05-25_10-24-17_000.jpg				N-35-35-28.44 E-139-34-49.38
23	2019-05-25_10-43-28_000.jpg				N-35-35-28.7 E-139-34-49.43
